rank,institution,state,oos_penalty_30yr_npv_usd,npv_resident_usd,npv_nonresident_usd,tuition_in_state_usd,tuition_out_of_state_usd
44,Miami University-Oxford,OH,716918,1820717,1103799,17060,38124
45,University of Idaho,ID,713651,1247377,533726,8816,29784
46,Colorado State University-Fort Collins,CO,706436,983589,277153,13009,33765
47,University of Utah,UT,698471,1791367,1092896,9315,29837
48,Old Dominion University,VA,694318,1067848,373530,12262,32662
49,University of Missouri-Columbia,MO,687785,1655826,968041,14130,34338
50,University of Kentucky,KY,687307,1265313,578006,13212,33406
51,Arizona State University Campus Immersion,AZ,685538,1553205,867667,12051,32193
52,Pennsylvania State University-Main Campus,PA,679139,2202506,1523367,20234,40188
53,California Polytechnic State University-San Luis Obispo,CA,677982,3020167,2342185,11075,30995
54,University of Minnesota-Twin Cities,MN,677778,1824263,1146485,16488,36402
55,University at Buffalo,NY,673558,775637,102079,10782,30572
56,Stony Brook University,NY,673557,1461500,787943,10560,30350
57,University of New Hampshire-Main Campus,NH,672877,1310166,637289,19112,38882
58,Middle Tennessee State University,TN,664913,948939,284026,9506,29042
59,University of Rhode Island,RI,660148,1210637,550489,16408,35804
60,Georgia College & State University,GA,652795,1455703,802908,8998,28178
61,University of Nebraska Medical Center,NE,652456,2832621,2180165,14720,33890
62,Idaho State University,ID,650414,1346624,696210,8356,27466
63,Binghamton University,NY,649733,1468232,818499,10363,29453
64,Florida Gulf Coast University,FL,648167,1060601,412434,6118,25162
65,University of Georgia,GA,648031,1612796,964765,11180,30220
66,University of Arkansas,AR,647487,2221601,1574114,9748,28772
67,University of Massachusetts-Lowell,MA,640747,1694316,1053569,16570,35396
68,Purdue University-Main Campus,IN,639930,3048360,2408430,9992,28794
69,Rutgers University-New Brunswick,NJ,638569,1462318,823749,17239,36001
70,Metropolitan State University of Denver,CO,637241,1234584,597343,10780,29503
71,The University of Tennessee-Knoxville,TN,629312,1339145,709833,13484,31974
72,University of Pittsburgh-Pittsburgh Campus,PA,625091,1457180,832089,21524,39890
73,University of New Mexico-Main Campus,NM,624070,911320,287250,8115,26451
74,Boise State University,ID,619237,1477721,858484,8782,26976
75,University of Colorado Denver/Anschutz Medical Campus,CO,619169,1538378,919209,10017,28209
76,Ball State University,IN,612906,1123517,510611,10758,28766
77,University of Missouri-Kansas City,MO,612635,1741498,1128863,12734,30734
78,The University of Texas at Arlington,TX,610319,2724270,2113951,11727,29659
79,University of Kansas,KS,602832,1834410,1231578,11700,29412
80,West Virginia University,WV,602832,1756482,1153650,9648,27360
81,Wayne State University,MI,602220,1606357,1004137,15464,33158
82,University of Nebraska-Lincoln,NE,600382,1654820,1054438,10108,27748
83,Portland State University,OR,600381,806615,206234,10617,28257
84,Central Washington University,WA,598305,987220,388915,9192,26771
85,University of Mississippi,MS,597931,1370091,772160,9412,26980
86,Eastern Washington University,WA,596945,712622,115677,8353,25892
87,Missouri University of Science and Technology,MO,592213,4573427,3981214,14278,31678
88,University of Maryland-Baltimore County,MD,590716,1316379,725663,12952,30308
89,New Mexico Institute of Mining and Technology,NM,587244,5412673,4825429,9058,26312
90,James Madison University,VA,585883,1760629,1174746,13576,30790
91,Iowa State University,IA,584929,2671065,2086136,10497,27683
92,New Mexico State University-Main Campus,NM,582819,995419,412600,8147,25271
93,University of Oklahoma-Norman Campus,OK,580981,2469949,1888968,9595,26665
94,Towson University,MD,579279,1160445,581166,11306,28326
95,Appalachian State University,NC,578462,802590,224128,7541,24537
96,University of Nevada-Las Vegas,NV,577136,1302957,725821,9142,26099
97,University of Nevada-Reno,NV,577102,1436028,858926,8994,25950
98,University of Mary Washington,VA,575876,577243,1367,14559,31479
99,New Jersey Institute of Technology,NJ,575604,3121510,2545906,19022,35934
100,Kansas State University,KS,574310,1971852,1397542,10942,27816
101,Mississippi State University,MS,570601,1555766,985165,9815,26580
102,Louisiana State University and Agricultural & Mechanical College,LA,567606,2022485,1454879,11954,28631
103,Montana Technological University,MT,567503,5274302,4706799,7993,24667
104,University of Massachusetts-Dartmouth,MA,563011,1337179,774168,15208,31750
105,Saginaw Valley State University,MI,561990,1364630,802640,12240,28752
106,University of Alaska Southeast,AK,561309,2341012,1779703,8820,25312
107,University of Michigan-Dearborn,MI,558722,2283914,1725192,14944,31360
108,University of Alaska Fairbanks,AK,557769,1649748,1091979,10016,26404
109,University of Louisville,KY,556340,1479945,923605,12828,29174
110,East Carolina University,NC,553991,1449753,895762,7361,23638
111,Texas A & M University-Kingsville,TX,551847,1408841,856994,9892,26106
112,University of Southern Maine,ME,550826,1314613,763787,10920,27104
113,University of Central Florida,FL,547933,827226,279293,6368,22467
114,Washington State University,WA,547150,1681024,1133874,12997,29073
115,The University of Texas at El Paso,TX,543475,914303,370828,9544,25512
116,Utah State University,UT,541773,1323552,781779,8305,24223
117,University of Wyoming,WY,537076,1618801,1081725,6938,22718
118,University of North Carolina at Greensboro,NC,535919,774672,238753,7593,23339
119,University of Illinois Chicago,IL,533979,1370447,836468,15816,31505
120,University of North Carolina Wilmington,NC,533264,974290,441026,7317,22985
121,Prairie View A & M University,TX,530099,1900544,1370445,11299,26874
122,Western Kentucky University,KY,529725,845487,315762,11436,27000
123,Rhode Island College,RI,528669,1008031,479362,10986,26519
